host_iso,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,latitude,longitude,time,date,label
2026-07-18T21:21:24.427,0.7893,-0.5464,1.8523,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:24.546,0.7893,-0.5464,1.8523,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:24.664,0.7893,-0.5464,1.8523,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:24.782,0.7898,-0.5457,1.8506,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:24.900,0.7898,-0.5457,1.8506,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:25.021,0.7898,-0.5457,1.8506,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:25.139,0.9038,-0.5500,1.8799,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:25.257,0.9038,-0.5500,1.8799,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:25.376,0.7800,-0.5481,1.8767,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:25.495,0.7800,-0.5481,1.8767,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:25.615,0.7800,-0.5481,1.8767,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:25.734,0.9023,-0.5474,1.9053,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:25.852,0.9023,-0.5474,1.9053,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:25.970,0.8826,-0.5496,1.2852,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:26.088,0.8826,-0.5496,1.2852,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:26.206,0.8826,-0.5496,1.2852,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:32.653,0.8843,-0.5474,1.8706,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:32.778,0.8843,-0.5474,1.8706,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:32.897,0.7480,-0.5527,1.3843,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:33.016,0.7480,-0.5527,1.3843,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:33.135,0.7480,-0.5527,1.3843,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:33.254,0.7656,-0.5452,1.3840,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:33.373,0.7656,-0.5452,1.3840,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:33.492,0.8972,-0.5369,1.4480,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:33.611,0.8972,-0.5369,1.4480,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:33.732,0.8972,-0.5369,1.4480,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:40.906,0.7744,-0.4006,1.8188,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:41.025,0.7744,-0.4006,1.8188,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:41.145,0.7744,-0.4006,1.8188,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:41.264,0.8950,-0.2827,1.8203,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:41.389,0.8950,-0.2827,1.8203,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:41.508,0.8948,-0.4062,1.8220,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:41.627,0.8948,-0.4062,1.8220,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:41.748,0.8948,-0.4062,1.8220,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:41.866,0.7747,-0.2810,1.8032,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:21:41.985,0.7747,-0.2810,1.8032,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:05.098,0.8831,-0.5505,1.4146,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:05.217,0.8831,-0.5505,1.4146,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:05.336,0.7671,-0.5427,1.4292,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:05.456,0.7671,-0.5427,1.4292,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:05.575,0.7671,-0.5427,1.4292,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:05.696,0.9001,-0.6743,1.7585,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:05.815,0.9001,-0.6743,1.7585,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:05.934,0.8816,-0.5503,1.4097,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:06.053,0.8816,-0.5503,1.4097,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:22:06.177,0.8816,-0.5503,1.4097,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:12.755,0.8955,-0.6724,1.8838,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:12.874,0.8955,-0.6724,1.8838,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:12.992,0.8948,-0.5505,1.8855,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:13.112,0.8948,-0.5505,1.8855,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:13.233,0.8948,-0.5505,1.8855,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:13.352,0.7720,-0.5488,1.8511,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:13.477,0.7720,-0.5488,1.8511,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:13.596,0.8984,-0.5530,1.8635,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:13.714,0.8984,-0.5530,1.8635,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:13.835,0.8984,-0.5530,1.8635,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:13.954,0.9067,-0.5479,1.8572,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:14.073,0.9067,-0.5479,1.8572,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:14.192,0.8811,-0.5483,1.4006,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:14.310,0.8811,-0.5483,1.4006,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:14.429,0.8811,-0.5483,1.4006,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:14.553,0.7690,-0.5476,1.2944,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:14.672,0.7690,-0.5476,1.2944,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:21.360,0.8977,-0.5508,1.8882,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:21.479,0.8977,-0.5508,1.8882,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:21.598,0.8977,-0.5508,1.8882,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:21.718,0.8799,-0.5486,1.4150,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:21.836,0.8799,-0.5486,1.4150,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:21.955,0.8799,-0.5486,1.4150,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:22.080,0.8757,-0.5471,1.2939,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:22.199,0.8757,-0.5471,1.2939,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:22.317,0.8809,-0.5491,1.4153,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:22.436,0.8809,-0.5491,1.4153,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:22.556,0.8809,-0.5491,1.4153,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:35.708,0.9072,-0.6697,1.9219,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:35.827,0.9072,-0.6697,1.9219,0.00,0.00,0.00,,,,,cracked
2026-07-18T21:27:35.946,0.9072,-0.6697,1.9219,0.00,0.00,0.00,,,,,cracked
