host_iso,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,latitude,longitude,time,date,label
2026-07-18T21:22:07.374,0.7729,-0.5552,1.9099,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:22:07.495,0.7729,-0.5552,1.9099,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:05.027,0.0315,-0.0027,0.9351,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:05.147,0.8950,-0.5518,1.8484,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:05.266,0.8950,-0.5518,1.8484,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:05.385,0.8950,-0.5518,1.8484,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:05.503,0.8816,-0.5483,1.4153,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:05.623,0.8816,-0.5483,1.4153,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:05.742,0.8804,-0.5498,1.4177,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:05.861,0.8804,-0.5498,1.4177,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:05.980,0.8804,-0.5498,1.4177,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:07.161,0.8992,-0.5503,1.8809,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:07.279,0.8992,-0.5503,1.8809,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:07.398,0.8992,-0.5503,1.8809,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:07.518,0.0344,-0.0044,0.9395,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:07.637,0.0344,-0.0044,0.9395,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:07.756,0.8740,-0.5466,1.3838,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:07.875,0.8740,-0.5466,1.3838,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:07.994,0.8740,-0.5466,1.3838,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:08.115,0.8933,-0.5486,1.8750,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:08.234,0.8933,-0.5486,1.8750,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:08.353,0.8816,-0.5491,1.4062,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:08.471,0.8816,-0.5491,1.4062,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:08.590,0.8816,-0.5491,1.4062,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:27.696,0.8896,-0.5461,1.2959,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:27.815,0.8896,-0.5461,1.2959,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:27.934,0.8896,-0.5461,1.2959,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:28.052,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:28.171,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:28.290,0.8889,-0.5476,1.4355,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:28.410,0.8889,-0.5476,1.4355,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:27:28.539,0.8889,-0.5476,1.4355,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:28:24.186,0.7896,-0.5476,1.8413,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:28:24.305,0.7896,-0.5476,1.8413,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:28:24.423,0.7546,-0.5493,1.3857,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:28:24.548,0.7546,-0.5493,1.3857,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:28:24.667,0.7546,-0.5493,1.3857,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:28:24.786,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:28:24.904,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:28:25.023,0.8926,-0.5432,1.4272,0.00,0.00,0.00,,,,,pothole
2026-07-18T21:28:25.141,0.8926,-0.5432,1.4272,0.00,0.00,0.00,,,,,pothole
