host_iso,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,latitude,longitude,time,date,label
2026-07-18T21:21:21.118,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:21.237,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:21.354,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:21.472,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:21.590,0.0410,-0.0024,0.9346,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:21.709,0.0410,-0.0024,0.9346,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:21.827,0.0417,-0.0032,0.9365,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:21.945,0.0417,-0.0032,0.9365,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:22.063,0.0417,-0.0032,0.9365,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:22.180,0.0400,0.0029,0.9380,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:22.300,0.0400,0.0029,0.9380,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:23.364,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:23.481,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:23.599,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:23.716,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:23.834,0.0410,0.0002,0.9321,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:23.952,0.0410,0.0002,0.9321,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:24.070,0.0410,0.0002,0.9321,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:24.189,0.0422,-0.0022,0.9338,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:24.309,0.0422,-0.0022,0.9338,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:26.331,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:26.449,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:26.566,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:26.684,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:26.803,0.0391,-0.0095,0.9365,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:26.923,0.0391,-0.0095,0.9365,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:27.997,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:28.116,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:28.234,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:28.351,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:28.475,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
2026-07-18T21:21:28.593,0.0000,0.0000,0.0000,0.00,0.00,0.00,,,,,smooth
