host_iso,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,latitude,longitude,time,date,label
2026-07-18T21:21:22.419,0.9016,-0.5493,1.8789,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:22.537,0.9016,-0.5493,1.8789,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:22.655,0.9016,-0.5493,1.8789,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:22.774,0.8840,-0.5488,1.4111,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:22.892,0.8840,-0.5488,1.4111,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:23.010,0.8840,-0.5488,1.4111,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:23.129,0.8828,-0.5479,1.4133,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:23.247,0.8828,-0.5479,1.4133,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:27.042,0.9033,-0.5518,1.8674,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:27.161,0.9033,-0.5518,1.8674,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:27.279,0.9033,-0.5518,1.8674,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:27.403,0.7605,-0.6641,1.3877,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:27.523,0.7605,-0.6641,1.3877,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:27.642,0.7417,-0.5576,1.4158,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:27.761,0.7417,-0.5576,1.4158,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:27.880,0.7417,-0.5576,1.4158,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:30.265,0.7339,-0.7798,1.8481,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:30.383,0.7339,-0.7798,1.8481,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:30.502,0.7339,-0.7798,1.8481,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:30.629,0.8674,-0.6086,1.3726,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:30.748,0.8674,-0.6086,1.3726,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:30.866,0.8762,-0.6196,1.4180,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:30.985,0.8762,-0.6196,1.4180,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:31.103,0.8762,-0.6196,1.4180,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:34.935,0.8870,-0.5469,1.7637,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:35.054,0.8870,-0.5469,1.7637,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:35.173,0.8813,-0.5481,1.4214,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:35.293,0.8813,-0.5481,1.4214,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:35.411,0.8813,-0.5481,1.4214,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:36.604,0.9028,-0.5371,1.8877,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:36.723,0.9028,-0.5371,1.8877,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:36.844,0.9028,-0.5371,1.8877,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:36.963,0.8860,-0.6511,1.2935,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:37.089,0.8860,-0.6511,1.2935,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:39.236,0.7698,-0.4551,1.7126,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:39.356,0.7698,-0.4551,1.7126,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:39.475,0.8743,-0.6135,1.3750,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:39.593,0.8743,-0.6135,1.3750,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:39.712,0.8743,-0.6135,1.3750,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:39.831,0.7568,-0.4929,1.4082,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:39.952,0.7568,-0.4929,1.4082,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:42.471,0.9075,-0.4890,1.8809,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:42.590,0.9075,-0.4890,1.8809,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:42.709,0.8784,-0.5239,1.4158,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:42.828,0.8784,-0.5239,1.4158,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:42.947,0.8784,-0.5239,1.4158,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:43.543,0.0247,-0.0001,-0.0001,-0.01,-0.01,-0.01,,,,,speedbreaker
2026-07-18T21:21:43.664,0.0247,-0.0001,-0.0001,-0.01,-0.01,-0.01,,,,,speedbreaker
2026-07-18T21:21:44.377,0.8962,-0.5552,1.8870,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:44.497,0.8962,-0.5552,1.8870,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:44.622,0.8962,-0.5552,1.8870,0.00,0.00,0.00,,,,,speedbreaker
2026-07-18T21:21:44.741,0.7874,-0.5549,1.9041,0.00,0.00,0.00,,,,,speedbreaker
